timestamps,TP9,AF7,AF8,TP10,Right AUX
1757889880.123,-205.566,-46.875,-453.125,-83.008,0.000
1757889880.127,-70.801,-22.949,-156.738,-54.199,0.000
1757889880.131,64.941,-14.648,218.262,-24.414,0.000
1757889880.135,-1.953,-46.875,-90.332,-15.137,0.000
1757889880.139,-168.945,-49.316,-482.422,-48.340,0.000
1757889880.143,-99.121,-19.043,-259.766,-63.965,0.000
1757889880.147,54.688,-0.488,205.566,-39.062,0.000
1757889880.151,18.066,-34.668,96.680,-9.766,0.000
1757889880.155,-137.695,-62.500,-408.691,-28.320,0.000
1757889880.159,-198.242,-31.738,-425.293,-78.613,0.000
1757889880.163,23.438,-12.207,69.824,-37.109,0.000
1757889880.166,22.461,-33.203,174.805,-18.066,0.000
1757889880.170,-97.656,-52.734,-304.688,-26.367,0.000
1757889880.174,-166.992,-39.062,-435.059,-45.410,0.000
1757889880.178,-69.336,-13.672,4.883,-53.223,0.000
1757889880.182,66.406,-15.625,235.352,-35.156,0.000
1757889880.186,-67.383,-45.410,-223.633,-48.340,0.000
1757889880.190,-125.000,-46.387,-515.137,-44.434,0.000
1757889880.194,-107.910,-24.902,-165.527,-54.688,0.000
1757889880.198,81.055,-22.461,182.617,-11.230,0.000
1757889880.202,-34.668,-33.691,-188.477,-40.039,0.000
1757889880.205,-135.742,-39.062,-488.770,-62.012,0.000
1757889880.209,-103.027,-28.320,-270.996,-55.176,0.000
1757889880.213,-28.320,-10.742,148.438,-57.129,0.000
1757889880.217,51.270,-29.785,94.727,-23.438,0.000
1757889880.221,-146.973,-52.734,-330.078,-35.156,0.000
1757889880.225,-141.113,-41.016,-442.871,-34.180,0.000
1757889880.229,-43.945,-20.020,-31.250,-48.828,0.000
1757889880.233,39.062,-26.855,179.688,-23.438,0.000
1757889880.237,-85.449,-44.434,-266.113,-25.391,0.000
1757889880.241,-168.457,-46.875,-455.078,-41.504,0.000
1757889880.245,-61.523,-37.109,-234.375,-16.113,0.000
1757889880.248,11.230,-24.902,65.430,-34.668,0.000
1757889880.252,-19.043,-44.434,-166.504,-56.641,0.000
1757889880.256,-177.734,-55.176,-503.906,-68.359,0.000
1757889880.260,-76.660,-29.297,-243.652,-44.922,0.000
1757889880.264,29.297,-10.254,221.191,-35.156,0.000
1757889880.268,-55.176,-36.133,37.109,-41.016,0.000
1757889880.272,-123.535,-57.617,-383.301,-47.363,0.000
1757889880.276,-158.691,-44.434,-334.473,-82.031,0.000
1757889880.280,11.719,-17.578,75.195,-58.105,0.000
1757889880.284,-1.465,-26.367,146.484,-49.805,0.000
1757889880.288,-151.367,-61.035,-332.031,-57.617,0.000
1757889880.291,-128.418,-49.316,-508.301,-50.293,0.000
1757889880.295,-36.133,-15.137,-45.410,-51.270,0.000
1757889880.299,17.578,-20.508,192.383,-27.344,0.000
1757889880.303,-118.164,-44.434,-242.676,-54.199,0.000
1757889880.307,-132.324,-43.457,-472.656,-67.383,0.000
1757889880.311,-68.359,-22.461,-43.457,-48.340,0.000
1757889880.315,21.484,-22.461,293.945,-27.344,0.000
1757889880.319,-64.453,-51.270,-99.609,-34.668,0.000
