timestamps,TP9,AF7,AF8,TP10,Right AUX
1757710012.193,167.480,964.355,98.145,148.438,0.000
1757710012.197,-154.785,956.543,-539.062,-116.699,0.000
1757710012.201,-200.195,961.426,-608.398,-206.543,0.000
1757710012.205,75.684,969.238,-79.102,-1.953,0.000
1757710012.208,230.957,960.938,102.539,174.316,0.000
1757710012.212,-69.336,939.453,-395.508,-45.898,0.000
1757710012.216,-210.938,946.777,-528.809,-183.105,0.000
1757710012.220,-9.277,970.215,-121.582,-20.020,0.000
1757710012.224,258.301,993.164,211.914,212.891,0.000
1757710012.228,64.453,598.633,-300.293,98.145,0.000
1757710012.232,-199.707,687.500,-520.996,-126.465,0.000
1757710012.236,-90.820,-984.863,-291.504,-76.172,0.000
1757710012.240,223.145,945.801,125.488,178.223,0.000
1757710012.244,149.414,949.219,-19.043,150.879,0.000
1757710012.248,-159.668,760.742,-502.930,-102.051,0.000
1757710012.251,-163.086,653.809,-504.883,-133.789,0.000
1757710012.255,135.742,815.918,-116.211,118.164,0.000
1757710012.259,205.078,738.281,-120.117,217.285,0.000
1757710012.263,-119.629,663.086,-446.289,-59.570,0.000
1757710012.267,-214.355,655.273,-461.426,-171.387,0.000
1757710012.271,32.715,768.555,-151.367,11.719,0.000
1757710012.275,230.957,930.664,136.719,197.266,0.000
1757710012.279,-37.109,606.445,-232.910,-3.418,0.000
1757710012.283,-222.656,411.133,-538.574,-194.336,0.000
1757710012.287,-56.641,738.770,-310.059,-77.637,0.000
1757710012.291,217.285,975.098,136.719,185.059,0.000
1757710012.294,40.527,937.500,-142.578,85.449,0.000
1757710012.298,-237.305,868.652,-551.270,-158.691,0.000
1757710012.302,-156.250,797.363,-568.848,-125.488,0.000
1757710012.306,141.602,898.438,28.320,162.598,0.000
1757710012.310,125.000,970.215,105.469,175.293,0.000
1757710012.314,-173.828,762.695,-552.246,-106.934,0.000
1757710012.318,-209.473,788.086,-509.766,-145.996,0.000
1757710012.322,70.312,973.633,47.363,88.379,0.000
1757710012.326,180.664,968.262,170.898,198.730,0.000
1757710012.330,-106.445,623.535,-449.219,-47.363,0.000
1757710012.333,-222.656,567.383,-648.926,-178.711,0.000
1757710012.337,-13.672,946.777,-100.586,-23.926,0.000
1757710012.341,192.383,981.445,231.445,183.594,0.000
1757710012.345,-36.133,357.422,-456.055,7.812,0.000
1757710012.349,-238.281,224.609,-750.488,-190.430,0.000
1757710012.353,-108.887,841.797,-263.184,-82.520,0.000
1757710012.357,175.293,-921.875,261.230,179.688,0.000
1757710012.361,45.898,467.285,-181.152,113.281,0.000
1757710012.365,-240.234,-13.672,-724.609,-143.066,0.000
1757710012.369,-168.945,622.559,-403.809,-156.250,0.000
1757710012.373,128.906,968.750,88.867,103.516,0.000
1757710012.376,121.094,708.008,-29.297,139.648,0.000
1757710012.380,-182.129,383.789,-515.137,-118.164,0.000
1757710012.384,-224.121,329.590,-548.340,-178.711,0.000
1757710012.388,44.434,705.078,-84.473,35.645,0.000
1757710012.392,181.641,700.195,-8.789,182.129,0.000
1757710012.396,-106.445,297.363,-484.375,-59.570,0.000
1757710012.400,-260.254,459.473,-466.797,-212.402,0.000
1757710012.404,-52.734,658.203,-152.832,-63.965,0.000
1757710012.408,196.777,742.676,168.945,167.969,0.000
1757710012.412,-32.227,439.453,-176.270,19.531,0.000
1757710012.415,-255.859,224.121,-490.234,-222.168,0.000
1757710012.419,-107.910,327.148,-372.070,-139.160,0.000
1757710012.423,184.570,637.207,50.781,140.137,0.000
1757710012.427,66.895,417.480,-70.801,81.543,0.000
1757710012.431,-224.121,57.617,-493.652,-138.672,0.000
1757710012.435,-179.688,52.734,-507.324,-144.043,0.000
1757710012.439,117.188,329.102,-97.168,64.941,0.000
1757710012.443,138.672,429.688,60.059,127.441,0.000
1757710012.447,-175.293,101.562,-357.422,-96.191,0.000
1757710012.451,-250.488,-336.914,-636.719,-187.012,0.000
1757710012.455,8.301,-102.539,-257.324,19.043,0.000
1757710012.458,173.828,584.961,220.215,185.547,0.000
1757710012.462,-109.863,49.805,-320.312,-43.457,0.000
1757710012.466,-256.836,-369.141,-594.727,-217.285,0.000
1757710012.470,-88.379,50.781,-149.902,-86.914,0.000
1757710012.474,167.480,451.172,280.762,181.152,0.000
1757710012.478,-13.184,-250.488,-214.355,68.359,0.000
1757710012.482,-264.648,-683.594,-628.418,-197.754,0.000
1757710012.486,-153.809,-354.492,-442.871,-137.695,0.000
1757710012.490,129.395,169.434,113.281,136.719,0.000
1757710012.494,64.453,-14.648,-46.875,104.492,0.000
1757710012.498,-220.215,-624.512,-601.074,-141.602,0.000
1757710012.501,-209.961,-369.141,-463.867,-186.035,0.000
1757710012.505,74.707,212.402,94.238,58.594,0.000
1757710012.509,148.438,-43.457,50.781,165.039,0.000
1757710012.513,-161.133,-732.910,-565.430,-87.891,0.000
1757710012.517,-254.883,-631.836,-557.617,-171.387,0.000
1757710012.521,-13.672,-126.953,-67.383,-2.441,0.000
1757710012.525,181.641,-142.090,96.680,186.035,0.000
1757710012.529,-64.941,-790.527,-490.723,5.859,0.000
1757710012.533,-249.512,-932.129,-646.973,-216.797,0.000
1757710012.537,-79.590,-594.238,-320.801,-71.289,0.000
1757710012.541,178.711,-413.086,-61.523,192.383,0.000
1757710012.544,12.695,-861.816,-468.262,73.242,0.000
1757710012.548,-248.535,-739.746,-548.340,-168.945,0.000
1757710012.552,-154.785,-535.645,-354.980,-145.508,0.000
1757710012.556,151.367,-553.711,78.613,120.605,0.000
1757710012.560,128.906,-790.527,-42.480,149.414,0.000
1757710012.564,-144.531,-1000.000,-504.395,-100.098,0.000
1757710012.568,-173.340,-1000.000,-510.742,-137.695,0.000
1757710012.572,70.312,-970.703,-191.895,83.008,0.000
1757710012.576,156.250,-951.172,-19.531,196.289,0.000
